CONTACT,PHONE_NEW,ADDRESS_NEW,CITY,STATE,ZIP
Kim Lerner,(739) 226-4539,PO Box 65,Westport,ct,06880
Martha Feeney,(688) 145-2655,95 University Drive,Fort Myers,FL,33907
Gregory Milam,(334) 835-0682,62 Earth City Expressway,Bridgeton,MO,63044
Brent Hansen,(786) 777-2790,61 Main St,Kansas City,MO,64111
Bob Magin,(869) 447-8740,2 S Longmont Ave,Lafayette,CO,80026
Dave Dogpile,(306) 850-6689,90 asdf,asdfasdf,or,97477
Michelle Smith,(444) 151-5206,93 Clarendon Boulevard,Arlington,VA,22201-3351
,(983) 311-6853,"30 Tapawingo Road, SE",Vienna,Va,22180
,(663) 964-3843,61 park centr,orlando,fl,32835
Alec Geist,(562) 613-4556,28  West 103rd,Westminster,CO,80021
Pat Watson-Capps,(966) 515-8446,"21 South Carrier, Suite 201",Grand Prairie,TX,75052
Marsh Phelps,(639) 862-1869,83 Cowan,Irvine,CA,92614
Blaine Jolley,(830) 247-3831,PO Box 82,Provo,UT,84605
Kathleen Yager,(479) 731-6061,42 Silas Deane Highway,Rocky Hill,CT,06067
C McGuire,(656) 188-0168,78 Elm St.,Salisbury,MA,01952
Javie Ferrada,(371) 963-8725,54 Summer street,Nutley,NJ,07110
Ron Westad,(986) 528-5559,P.O. Box 23,Phoenix,AZ,85082
Gary Barton,(971) 547-5621,3 E. Carpenter Fwy.,Irving,TX,75062
Antonio Stack,(288) 614-5572,P.O BOX 40,Baltimore,MD,21220
Maxine Ferguson,(760) 281-4206,None,Helena,MT,59602
Reid Howe,(369) 614-7621,75 Washington Road,McMurray,PA,15317
Linda Dancer,(546) 239-9846,37 North Washington Ave,Lansing,MI,48906
Rusty Hellyer,(367) 400-8656,17 Center St.,Deer Park,TX,77536
Patrick McNulty,(218) 393-0191,33 Briarwood Drive,Paducah,KY,42003-5166
Ronald S. Rubin,(382) 834-0392,Liberty Square,Danvers,MA,01923
jay novak,(570) 296-0041,15 E. Indian Bend,Paradise Valley,AZ,85253
Nicki Owens,(399) 330-5897,28 Jack Warner Pkwy,Tuscaloosa,AL,35401
,(213) 781-9457,58 South 40th Street,Lincoln,NE,68506
Bob Herbeck,(620) 788-8394,33 Center St,Auburn,ME,04210-6454
James Dempster,(802) 699-3406,49 Hounslow St,"Christchurch, New Zealand",N/A,N/A
Paul Yazhari,(214) 648-3053,48 Farrington,Hurst,TX,76054
Lee Kantor,(253) 578-3048,21 Lorell Terr,Atlanta,GA,30328
Joseph M. Petro,(609) 699-0291,92 Pheasant Run # Suite 200,Newtown,PA,18940
Jose Ferrer,(893) 840-7835,43 Stoneridge Rd. #707,Middletown,NY,10941
Steve Wallace,(888) 713-8749,53 Whatney,Irvine,CA,92718
Paul Hayman,(877) 685-8840,93 Piccadilly Street,London,ON,N6A 1
Alan Meyer,(384) 835-9962,"8 Spring Valley, Suite 1400",Dallas,TX,75244-3619
Blair Rinnier,(910) 567-8695,24 W. Main St.,Salisbury,MD,21801
,(960) 263-1270,82 St. James,Boston,MA,2116
Nicole Giessinger,(516) 703-1704,97 N 12th St,Phoenix,AZ,85224
Tony Brewer,(258) 632-4873,29 N. Central Expressway,Dallas,TX,75206
,(944) 758-8058,77 Wisconsin Avenue,Bethesda,MD,20814
Timothy Peterson,(435) 517-6539,45 West 38th Street,New York,NY,10018
Georgia A. Perkey,(550) 702-8246,27 Hurt Plaza,Atlanta,GA,30303
Steve August,(463) 225-6310,35 Staples Drive,Framingham,MA,01702
JR Aston,(633) 254-3038,59 Memorial Drive 170,Houston,TX,77079
Jan  Morrison,(501) 801-4458,4 W Craig Rd,North Las Vegas,NV,89030
Scott Hinsch,(268) 936-1941,31 State Rte 93,Jackson,OH,45640
Tim Wetzel,(628) 102-1406,P.O. Box 43,Dallas,TX,75261-2746
John Buttery,(613) 748-9116,26 North 1st Ave,Tucson,AZ,85719
Mike Setunsky,(423) 832-7991,82 Minnieville Road,Woodbridge,VA,22193
David H Stevens,(408) 158-0879,96 Bridgeport Ave,Milford,CT,06460-3173
David Smith,(369) 477-2746,82 E. Desert Rose Drive,Henderson,NV,89015
,(458) 398-2782,46 Broadway,Haltom City,TX,76117
Mike Mitchell,(790) 341-5308,"56 NW Plaza, Suite 401",Dallas,TX,75225
,(993) 150-0033,12 N. Wheeling Avenue,Muncie,IN,47304-1776
Terry McGuire,(952) 574-2034,PO Box 83,Beloit,WI,53512
Nancy Carlson,(389) 934-0710,"79 Douglas, Ste 6",Des Moines,IA,50310
Mark Engel,(231) 950-4350,34 Collins Ave,Miami Beach,FL,33160
Peter Deputy,(659) 261-2196,79 Lathrop,South Bend,IN,46628
"Bill Biesel, Jr.",(250) 107-5910,92 E. Randol Mill #208,Arlington,TX,76011
Burke Young,(333) 284-1978,32 Cox rd,Rydal,PA,19046
Michael Barrett,(467) 900-1658,100 Main St,Laurel,MD,20707-4199
Mr. Gilbert LaFare,(613) 324-1195,P.O. Box 14,Charlotte,NC,28201-1017
Reby Cary,(361) 129-4949,10 Bunche Drive,Fort Worth,TX,76112
Pat Blum,(746) 678-2541,"41 San Jacinto Blvd., Suite 360",Austin,TX,78701
Thomas DeMint,(283) 539-5006,"PO Box 51, 7B Greenwood Dr., Suite 2",Hilton Head,SC,29928
Gerrianne Cheek,(705) 586-7564,83 Navarro,San Antonio,TX,78205
Casey J. Kowalski,(504) 323-3439,"51 South Riverside Plaza,",Chicago,Ill,60606
christina  portal,(388) 902-1362,80 St. Johns bluff rd. South,Jacksonville,Fl,32224
Chris Jasztrab,(583) 813-9728,3 Cedarwoods Cres,Kitchener,On,N2C 2L4
Kirk Neal,(512) 268-3169,P.O. Box 72,Dublin,VA,24084
Cheryl Johnson,(865) 749-8431,54 South Westmoreland,Dallas,TX,75211-8998
,(537) 426-1284,17 E. 53rd,NY,NY,10022
Deborah K.H. Copeland,(742) 408-0139,#38 Opperman Drive,Eagan,MN,55123
Neill Kelly,(747) 158-1019,6 Broad Hollow Rd.,Millville,NY,11747
,(632) 676-4926,97 Bailey Ave.,Ft. Worth,TX,76107
,(553) 133-3807,49 Mountain Ave.,Winnipeg,MA,R2X3B6
John Curran,(584) 487-6618,100 S. Dadeland Blvd.,Miami,FL,33156
,(991) 906-6360,,carson city,nv,89710
Richard E. Secor,(341) 147-0884,56 Regency Parkway,Omaha,NE,68114
Jennifer  Hall,(864) 853-3891,27 Cliffside Lane,Fair Oaks,Ca,95628
Dena Brayley,(744) 471-2560,46 Main Street,Kansas City,MO,64111
Cherie Faiella,(667) 691-8323,70 Avenue of the Americas,New York,NY,10036
Monty Walker,(705) 604-5371,51 West Allen Avenue,San Dimas,CA,91773
Kevin Rhodes,(761) 695-5998,98 Cabela Drive,Sidney,NE,69160
Reggie Jacob,(237) 222-9341,15 Vista A,Pasadena,TX,77504
Wayne Reed,(606) 557-8454,PO Box 58,Leederville,Pe,rth
Rob Ackman,(341) 313-3927,90 Franklin Village Dr,Franklin,MA,20380
Kelly Young,(494) 193-1779,One Global View,Troy,NY,12180-8399
Cem Adiguzel,(868) 230-9096,UNABOX83,Florence,AL,35620
,(420) 750-6191,61 PARK CENTRAL EAST,SPRINGFIELD,MO,65806
Frank French,(897) 452-5701,92 N Main St,Plentywood,MT,59254-1842
Michael Regan,(458) 937-4098,13 Charles Street,New York,NY,10014
Michael LoGiudice,(576) 231-6490,37 Neptune Street,Geneseo,IL,61254-1657
paul courtemanche,(351) 457-0455,85 west 4th street,cincinnati,oh,45202
Joe Traynor,(389) 607-6984,45 Rucker Road,Indianapolis,IN,46220
,(998) 836-6212,91 Farm Rd,Sherborn,MA,1770
Alicia Brocking,(564) 450-0327,71 South Bedford Road,Mount Kisco,NY,10549
Chuck Gibson,(885) 988-1615,60 E. Missouri Ave.,Phoenix,AZ,85012
Edgar W Philpott,(209) 737-9698,94 US Highway 69 N,Beaumont,TX,77705
Duane Brandenburg,(346) 296-5471,49 Newport Hwy,Spokane,WA,99218
brenda roldan,(610) 377-8805,71 woodborough ct,tpa,fl,33615
Joe Lowery,(236) 748-1869,58 Russell Street,Charlestown,MA,02129
Donald Isaacs,(543) 775-8373,92 East Broadway Blvd.,Tucson,AZ,85711
,(250) 686-1610,14 W. Arrowhead Rd.,Littleton,CO,80123
Dick Falck,(537) 810-5354,P.O. Box 74-164,Fort Worth,TX,76147
Bill Palmer,(995) 544-3455,PO Box 97,Cicero,NY,13039-1056
Mary Lou Githens,(822) 310-3029,74 E Imperial Hwy,El Segundo,CA,90245-3531
Meredith Woods,(665) 306-2267,"100 Executive Center Dr., Ste. 161",Austin,TX,78731
Steve Pavlis,(946) 168-6561,68 Street Road,Bensalem,PA,19020-4353
john vigeland,(737) 265-3521,53 w. kennedy,Kimberly,wi,54136
Joe Lazzara,(443) 128-8161,96 Rivergrade Road,Irwindale,CA,91706
John Densford,(331) 965-8112,40 Center Street,Jupiter,FL,33458
,(401) 444-7157,PO Box 95,Lufkin,TX,75901
Jay Claussen,(555) 276-6740,13 Pershing Road,Kansas City,MO,64112
Ron Thomas,(915) 770-8576,PO Box 84,Columbia,MD,21045
Allan Potamkin,(733) 215-5040,50 W 57th St,New York,NY,10019-1001
Mark Bishop,(489) 348-5239,P.O. Box 47-5158,Grand Prairie,TX,75053-5158
Mitch Filiere,(325) 409-7276,85 N. Priest Dr.,Tempe,AZ,85281
Quan Mac,(341) 310-7807,65 N. Marengo Ave,Altadena,CA,91001
Christina Porter,(733) 779-9187,21 10th Ave,Oakland,CA,94606
Jeff Barach,(339) 593-0571,87 South Jefferson Davis Pkw,New Orleans,LA,70125
Andrew St. Clair,(421) 156-1942,58 Peachtree Road NE Suite 800,Atlanta,GA,30326
Marc Marshall,(990) 409-3132,6 Auto Center Rd,Manchester,NH,03103-3213
Edith Bennett,(755) 147-4901,33 E 100 B Street Room 3124,Casper,WY,82601
Ivor Benn,(535) 358-9761,P.O. Box 53,Linton Grange  6015,,
Blake Hudema,(914) 395-9759,72-1040 Hamilton Street,"Vancouver, BC",,V6B 2R9
William Mooney,(204) 452-7342,32 Route 22,North Plainfield,NJ,07060
Michael Martin,(740) 638-0308,67 Sudley Rd,Manassas,VA,20109-2880
Amy Ingalls,(333) 199-8136,11 N. Chicago Street,Joliet,IL,60435
Stacy Morse,(230) 526-4731,59 West Wacker Drive,Chicago,IL,60601
Rick Greenberg,(258) 413-8729,80 East 80th Street,New York,NY,10021
Patrick Ecoeur,(369) 739-3419,Avenue des Mousquines 54,Lausanne/Switzerland,VD,1001
Russell Frith,(840) 988-3274,16 Highway 34,Holmdel,NJ,07733
CRISTINA PAGADUAN,(814) 593-6309,51 WILSHIRE BLVD.,LOS ANGELES,CA,90036
,(992) 476-4619,43 Tiverton Road,Randallstown,MD,21133
Judy L Halter,(591) 920-2895,49 South Belt Highway,St. Joseph,MO,64507-2235
Brad Farrar,(638) 950-2610,45 Airport Rd.,Roanoke,VA,24012
Pat Blanchard,(224) 761-0092,66 Wrightsboro Rd,Augusta,GA,30909
,(511) 320-5366,5 SE 13 St,Cape Coral,Fl,33990
Dan Carlson,(746) 427-9419,39 Crown Colony Drive,Quincy,MA,02169
Jane Hope,(298) 850-9969,49 Butterfield Rd.,Casselberry,FL,32707
Gregory Morris,(946) 118-6951,1 Genevieve St.,Solana Beach,CA,92075
Bettina Tapscott,(793) 320-1358,41 S Nogales St,Industry,CA,91748
Dennis Luers,(770) 702-9455,38 E. Northwest Highway,Grapevine,TX,76051
Alicia Peycelon,(603) 817-5607,,Norfolk,VA,
Mike Whitten,(439) 493-9076,65 Triangle Parkway,Norcross,GA,30092
Michael McLaughlin,(639) 404-6700,32 Howard Street,Rockland,MA,02370
Mike Esser,(548) 668-1729,49 W Tropicana 106,Las Vegas,NV,89103
Cindy Markovich,(463) 678-8897,P.O. Box 64,Janesville,WI,53547
William Sullivan,(916) 757-6350,72 Broad St,New London,CT,06320-2599
Jeremy Vest,(783) 504-8535,97 Ambassador Drive,Naperville,IL,60540
Lynn Fontain,(738) 392-2767,41 Resources Rd,Etobicoke,ON,M9P 3V7
,(610) 169-9455,87 Peter Pan St.,Norman,OK,73072
Sue Linkletter,(895) 264-0324,20 West Monroe,Chicago,IL,60661
Jeff Ekberg,(418) 672-4106,72 Town Center Drive 1000,Costa Mesa,CA,92626
Dale Young,(686) 456-9040,75 South Research Loop Road,Tucson,AZ,85710
Walter Mykins,(584) 468-0825,One Global View,Troy,NY,12180-8399
"W.H. ""Bill"" Croak",(840) 895-9443,34 S. Air Depot,Midwest City,OK,73140
Carlos Rodriguez,(605) 248-6080,49 Standish Place,Rockville,MD,20855
Joe Thompson,(637) 188-6690,27 Park Blvd. Suite 100,Grapevine,TX,76051.
Jeff Towle,(224) 814-9533,6 Wesbrook mall,Vancouver,bc,v6s2l9
Greg Jones,(237) 700-5918,21 West Los Angeles Avenue,Moorpark,CA,93021
Todd C. Hendrickson,(430) 787-7893,35 Technology Drive,Eden Prairie,MN,55344
,(430) 331-9885,38 Hartford St.,Dorchester,MA,2125
John Montgomery,(916) 649-7724,37 Shadywood,Arlington,TX,76012
,(897) 910-4911,"63 K Street, NW",Washington,DC,20006
Vincent Sancho,(994) 860-1471,76 Brickell Ave.,Miami,FL,33131
Lou Hillman,(772) 556-4472,49 E. Northwest Highway,Grapevine,TX,76051
Stephanie Herman,(814) 337-2539,2 Biscayne Boulevard,Miami,FL,33181
Crystal Branson,(269) 553-5541,Broadway & Maple,Winchester,KY,40392
K.V. Silvey,(815) 378-2845,23 SW Sam Jackson Park Rd,Portland,OR,97201
Gary Kinnear,(353) 546-4009,16 Main St,Millbury,MA,01527
,(578) 928-1361,95 Worcester Road,Framingham,MA,1701
Michael R. Folio,(413) 699-7865,"Store Support Center, Blg C-58",Atlanta,GA,30339
James Murphy,(806) 183-9249,92 S Roberts Rd,Palos Hills,IL,60465
Anne Carey,(619) 721-8658,43 Park Avenue,New York,NY,10166
"Terry O'Leary",(541) 282-8413,37 Route 46 East,Fairfield,NJ,07007
Gail Perry,(802) 223-8929,92 Washington Street,Durham,NC,27701
Veronica,(365) 317-3400,83 N Central Espressway,Dallas,TX,75225
Hugh Mason,(576) 195-0099,88 Northside Parkway,Atlanta,GA,30327
Mary Somers,(289) 817-2683,37 Thomas Run Road,Bel Air,MD,21015
Bill Thomas,(417) 681-5549,89 DTC Boulevard,Englewood,CO,80111
Joann Maxwell,(202) 867-9988,48 S. Court St.,Florence,AL,35630
Ray Zabielski,(388) 448-2875,34 N. Michigan Ave.,Chicago,IL,60611
Alex Martinez,(276) 400-5312,PO Box 19,Bainbridge Island,WA,98110
Mike McWithey,(839) 920-2959,18 N. Great Southwest Parkway,Arlington,TX,76011
Kirby Simmons,(904) 852-7042,41 Eastside 500,Houston,TX,77098
James Marrelli,(324) 899-2299,7 Burnet,Austin,TX,78758
Carl George,(207) 762-3513,100 Indian Creek Rd,Diamond Bar,CA,91765
Scott Moyer,(900) 676-3907,34 Business Center Drive,Horsham,PA,19044
Steve Awh,(935) 836-7070,"49 S. Fremont Ave., Bldg A-9, 6th Flr.",Los Angeles,ca,91803
Alan Langlois,(858) 772-1308,34 Scottsville Road,Rochester,NY,14624
Kathleen H. Butler,(820) 338-9239,89 Fairfax Drive # Suite 800,Arlington,VA,22203
Jess Sellars,(413) 829-7161,100 W Austin,Kermit,TX,79745-2804
Monte Payne,(206) 910-5800,38 Metro Boulevard,Minneapolis,MN,55439
Drake Gastineau,(405) 426-4564,83 S. Dayton-Lakeview Road,New Carlisle,OH,45344
william stone,(485) 726-2394,5 Fredericksburg Rd,San Antonio,TX,78288
Mark Kartarik,(285) 518-3220,83 Metro Boulevard,Minneapolis,MN,55439
,(938) 203-9531,56 e superstition springs blvd,mesa,az,85206
Glenn Kramer,(668) 597-8947,"49 Brennan Street, #16",Watsonville,CA,95076
Robert Roth,(722) 965-4368,92 Shell Lane,Levittown,NY,11756
David Neace,(703) 885-4533,2 Main Street,Jackson,KY,41339
Lynn Anfinson,(685) 478-3856,12 S. 6th Street,Minneapolis,MN,55402
Anthony Peterman,(375) 538-1601,98 Peachtree Ave. NE,Atlanta,GA,30305
janet robinson,(637) 862-2569,78 N. Sepulveda Blvd.,El Segundo,CA,90245
Doug Warren,(237) 464-7501,94 Iroquois Shore Road,Oakville,,L6H 2R3
Yolanda Chance,(228) 148-3394,40 Orangethorpe Ave.,Buena Park,CA,90620
Arthur Holben,(671) 257-7371,4 Bradford Lane,Syracause,NY,13224
Randy Hay,(262) 842-9812,P.O. Box 93,Dallas,TX,75229
Rudy Blankenship,(720) 404-5439,12 W. Shaw Avenue,Fresno,CA,93711
Robert McKenzie-Smith,(676) 212-5862,"31 N. O'Connor Blvd., Suite 360",Irving,TX,75039-3702
Ronald Sommers,(810) 489-6801,87 N. Main Street,New City,NY,10956
John Brennan,(305) 661-6544,"34 Midway Road, Suite 100",Dallas,TX,75244
Jason Dill,(925) 247-2553,20 S. Cincinnait,Tulsa,OK,74119
John Taylor,(838) 779-9626,P.O. Box 8,Bentonville,AR,72712
Kevin S Motley,(534) 949-3592,70 N South St,Wilmington,OH,45177-1659
Mike Hawkins,(502) 892-5748,P.O. Box 33,Waco,TX,76707
Stephanie Kirchmaier,(675) 679-1320,21 University Ave.,St. Paul,MN,55114
Mike Cromie,(357) 462-5047,35 W. Colfax,Palatine,IL,60067
"Ed Tann, Sr.",(659) 269-7560,"86 Bellaire Drive, Suite 1040",Fort Worth,TX,76109
Frank Consiglio,(881) 786-3027,81 W. Ann Road,Las Vegas,NV,89149
Frances Pierce,(949) 457-5900,89 E 13 Mile Rd,Roseville,MI,48066-1398
,(494) 381-4535,49 Perier Street (Rear Office Entrance,Hayes,LA,70646-0577
Carly Rosa,(201) 143-1023,51 Germantown Court,Cordova,TN,38018
Carl Rakich,(466) 469-0796,100 Copley Road,Akron,OH,44320
Phillip Anderson,(317) 163-5027,98 E. Doubletree Ranch Rd.,Scottsdale,AZ,85258
,(354) 251-0219,39 W. Winter Park St.,Orlando,FL,32804
Nikki McBurnett,(982) 315-5646,91 N. Mopac,Austin,TX,78731
Raquel  Tolmaire,(796) 224-8649,70 Wilshire,Los Angeles,CA,90017
Denwood Butler,(238) 813-6633,P.O. Box 2,Fort Worth,TX,76121
,(888) 304-5080,86 golden hills court,colorado springs,co,80919
Jim Staples,(587) 807-0965,69 Triangle Drive,Raleigh,NC,27613
Jeff D Wilson,(766) 737-7931,56 Texas Ave,Slaton,TX,79364-4245
Daniel Roth,(382) 886-7811,"73 West 34th Street, Suite 201",Austin,TX,78703-0520
Maureen Yeckley,(472) 917-9813,4 Woodrow Avenu,Pittsburgh,PA,15227
Lindsay Bilisoy,(671) 366-8213,19 Waterside Drive,Norfold,VA,23510
Kevin May,(273) 899-0939,Julie,San Diego,CA,
Ray Lutz,(420) 721-4650,85A Kapaloala Pl.,Honolulu,HI,96813
Michael Tipps,(871) 764-3508,"69 Via Fortuna, Suite 100",Austin,TX,78746
Sun  Chen,(491) 801-2381,60 Chapel Street,New Haven,CT,06511
Elisa Hensley,(728) 961-6290,92 Poydras Stree,New Orleans,LA,70130
B Spruell,(698) 335-0704,37 Burgess Lane,Durham,NC,27707
James Madison,(711) 662-5243,,Nashville,TN,37212
Stephen Lannan Sr,(336) 782-3819,72 Winn St,Woburn,MA,01801-2835
Chuck Kinch,(427) 652-9869,16 E. Dyer Road,Santa Ana,CA,92705
Mr. Harlan Hamlin,(787) 187-1142,49 Wisconsin Ave,Bethesda,MD,
Arthur Kriegsman,(436) 119-0774,27 West Union Ave,Bound Book,NJ,08805
Dan Kane,(251) 537-3770,71 River Rd.,Wilton,CT,06897
Lou Fabrizio,(716) 177-0451,64 Hunt Club Blvd Ste 202,Longwood,FL,
Roy O. Priest,(632) 387-3296,"26 15th Street, NW",Washington,DC,20005
Einar Seadler,(832) 154-7927,,Seattle,WA,
"Charles Weissenborn, Jr.",(266) 652-7003,36 Camp Bowie Blvd.,Fort Worth,TX,76107
Kirk Robison,(304) 737-2048,"62 N. Mesa, #100",El Paso,TX,79902-1107
Roger Foy,(952) 960-1758,96 East Fourth Street,Cincinnati,OH,45202
,(586) 980-2989,31 crestwood blvd,birminghamq,al,35210
David Williamson,(749) 869-7459,14 Smoketree Ct,Raleigh,NC,27604-1059
John Beach,(432) 221-0920,"56 Merit Drive, Suite 1310, LB 51",Dallas,TX,75251
Dennis Schmidt,(619) 595-1747,34 E. 1st Street,Wichita,KS,67214
Todd Brattle,(887) 334-2066,51 E Noble Ave,Williston,FL,32696
Diane  Foster,(814) 733-4503,93 court Square,Mocksville,NC,27028
jim archibald,(877) 816-4517,39 forest hill road,wilkesboro,nc,28697
Kim Flynn,(904) 459-2407,28 W Bowles Ave,Littleton,CO,80123
Scott Reynolds,(547) 759-6461,94 Douglas Blvd.,Roseville,CA,95746
Carrie Sass,(267) 423-0288,,Miami,FL,
Bruce Pluchinsky,(619) 436-7088,23 E Houston,San Antonio,TX,782052233
Ray Herndon,(689) 688-7454,38 Sunflower Ave,Costa Mesa,CA,92626
valerie cines,(660) 412-4167,91 18th Street,san francisco,ca,94110
,(765) 849-5753,80 The Alameda #100,San Jose,CA,95125
Mark Watson,(444) 938-8976,33 Park Granada,Calabasas,CA,91302
Mike,(351) 758-7411,,Roanoke,VA,
Neil Fritz,(768) 745-0762,8 S Biscayne Blvd,Miami,FL,33131
Lisa Henson,(542) 553-8802,3 Louisiana Blvd. NE,Albuquerque,NM,87110
Leonard Horowitz,(296) 240-6776,77 Commerce Park,Cleveland,OH,44122
Susanna LaMontagne,(768) 603-6828,"43 W. Parker Road, Suite 106",Plano,TX,75023
Cathy Hamma,(403) 389-3874,11 North Meacham Rd.,Schaumburg,IL,60173
Eddie Cohen,(946) 252-4208,Level 50,Sydney,NSW,2000
Suzie Rudich,(752) 679-2942,"2 St. James Avenue, Suite 2000",Boston,MA,02116
Robert Cutting,(802) 306-2954,"Hwy 24 South, Box 586",Lebanon,GA,30146
Travis Budlong,(460) 552-5806,35 West Davis,Conroe,TX,77304
Emily Santi,(671) 680-4709,27 Peachtree Center Ave,Atlanta,GA,30303
Pamela Rodrigues,(421) 500-1183,"9 Highway 395,",Minden,NV,89423
Greg Olsen,(537) 190-7620,41 Butterfield Rd.,Oak Brook,IL,60532
Carl Kurt,(666) 586-5950,16 West 15th St,Lawrence,KS,66049
Chris Lavagnino,(398) 339-7525,63 Spring Valley Rd.,Dallas,TX,75240
Susan McGlynn,(664) 103-6829,85 North Wacker Drive,Chicago,IL,60606
Claudia Johnson,(580) 885-1289,44 Chestnut Street TLP & B,Philadelphia,PA,19027
Scott Wheeler,(796) 909-6258,80 Town Park Drive,Kennesaw,GA,30144
Nouzong Lynaolu Vang,(437) 294-8676,18 Ridge Ave,Evanston,IL,60202
neal cukerbaum,(786) 220-9563,4 west plano parkway suite 1000,plano,tx,75093
Dave Anderson,(494) 685-9432,"16 LBJ Freeway, Suite 1100",Dallas,TX,75247
Russ Davis,(516) 917-9584,26 West Commerce Court,Lyle,IL,60532
Sharon Hodnett,(486) 899-2062,"83 Westpark Way, Suite 120",Euless,TX,76040
Donald Hinman,(579) 561-2986,4 Industrial Blvd.,Conway,AR,72033
Chauncy Mayfield,(568) 838-8468,24 Mack Avenue,Detroit,MI,48215
Richard Wagoner,(505) 984-5829,Julie,Detroit,MI,48265
,(345) 900-5205,34 N. Plains Industrial Rd.,Wallingford,CT,06492
Jim Spence,(371) 845-8300,"65 Shoal Creek, Suite 100",Austin,TX,78757-8051
Seaborn Wicker,(998) 379-3538,89 Chevelle Drive,Baton Rouge,LA,70806
David Park,(613) 183-6008,98 Park Ave.,New York,NY,10172
John Palmer,(615) 112-6353,28 Catalpa Drive,La Plata,MD,20646
Hal Mayfield,(387) 972-9740,"44 LBJ Frwy,1600 Two Lincoln Centr",Dallas,TX,75240
Robert Reynolds,(240) 460-6796,55 Aviation Blvd.,Redondo Beach,CA,90278
Terry Trombatore,(258) 691-0043,42 Plaza Dr.,Mission Viejo,CA,92691
Cyndy Frederick,(491) 584-6757,,San Jose,CA,
David White,(318) 548-9159,80 Cades Cove,Spring,TX,77373
Linda Spence,(791) 198-1586,22 Main Street,Frisco,TX,75034
Alex Murphy,(550) 902-0745,34 Front St E,Toronto,On,M5E 1B5
Mike Walsh,(369) 930-4659,Julie,San Jose,CA,
David Dickson,(785) 340-2827,99 E. Del Amo Blvd.,Dominguez,CA,90220-6306
Jimmy Moore,(682) 725-9866,55 South University Drive,Fort Worth,TX,76109
casimir figlewicz,(396) 617-1336,75 n clark,chicago,il,60614
Michael Dubrow,(445) 659-9646,P.O. Box 43,S. Louis,MO,63130
Bryan Keegan,(279) 174-8108,56 Ramona Ave,Chino,Ca,91710
KIM Jones,(815) 322-4776,68 Connection Drive,Irving,TX,75039
Charles Lambert,(978) 259-0869,"33 Justin Lane, Suite 100",Austin,TX,78757
Kathy Hermann,(438) 457-6921,,Seattle,WA,
Angus Twombly,(528) 352-2325,,Portland,ME,
Mario Santos,(407) 779-5384,92 Limestone Drive,Union City,CA,94587
Bruce MacGowan,(859) 834-7374,43 Lackawanna Trail,Clarks Summit,PA,18411
,(217) 373-2228,100 Goldring,New Orleans,LA,70118-5669
Barbara  Fowler,(468) 651-1092,15 Canyon Drive,Cortez,CO,81321
Terri Gorham,(328) 906-5686,58 N. Maxwell,Fayetteville,AR,72703
Steve Nix,(428) 171-4044,37 6th Ave South,Birmingham,AL,35222
John Oates,(230) 675-4756,P.O. Box 11,Anchorage,AK,99514-9001
Tom Buckley,(547) 769-8569,34 E. 350 Highway,Raytown,MO,64133
Paul Dixon,(997) 863-6554,89 Chenal Club Blvd,Little Rock,AR,72223
Sean Graves,(621) 329-6675,54 West Midwest Ave,Casper,WY,82601
John Pitek,(592) 674-6034,,Denver,CO,
Maryann Bassett,(864) 148-1384,1 Coe Court NE,Albuquerque,NM,87110
Donald DeCrescenzo,(387) 152-6105,One South Van Ness Ave.,San Francisco,CA,94103-1288
Mr. Roger Bernier,(246) 196-4178,99 Governors Hill Dr,Cincinnati,OH,45249-1386
Joe Dockery,(498) 846-6192,83 Route 17 S,Paramus,NJ,07652-2900
Kasper Mingo,(561) 287-5737,15 Celia Avenue,Charlotte,NC,28216
Mr. John Somiak,(307) 590-6135,41 North Village Road,Reston,VA,20194
Dominic Ielati,(556) 833-8075,49 Capitol Mall,Sacramento,CA,95814
paula dalton,(871) 507-9781,57 w ivuglen st apt 131,mesa,az,85201
Robert Breslau,(880) 264-1521,48 SE 2nd Street,Ft. Lauderdale,FL,33309
Linda Biciocchi,(422) 133-5264,42 Vine Street,Cincinnati,OH,45210
Keith Samrany,(771) 955-8412,9 Niagara Street,Tonawada,NY,14150
Wayne Baca,(817) 397-9445,6 S. 15th Street,Omaha,NE,68102
Kim Schilling,(826) 770-8131,"40 W 'B' St",McCook,NE,69001
Jonathon Horn,(430) 922-3204,"44 Lee Parkway, Suite 335",Dallas,TX,75219
Chance Bolton,(252) 347-2304,13 Elizabeth Road,Houston,TX,77055
,(858) 128-0250,"97, Bridgeport ave",shelton,Ct,06484-0917
"Ray Case, CCIM",(682) 199-2567,"98 Spaulding Dr.,",North Charleston,SC,29406
Kristina Harris,(531) 606-5700,44 Wheelhouse Lane,Agoura Hills,Ca.,91301
Linda C. Haneborg,(464) 208-3790,89 NW Expressway,Oklahoma City,OK,73132
Herb Brooks,(648) 125-2482,30 Broadway Plaza,Tacoma,WA,98402
Erik Wulff,(786) 487-9499,"29 13th Street, NW",Washington,DC,20004-1109
,(516) 998-3115,13 manor road,cranston,ri,2920
Ms. Sheila Evans,(585) 762-8796,,,,
Matthew J. Gray,(578) 841-8544,One Graycor Drive,Homewood,IL,60430
Allison Victor,(313) 174-2835,8 E First Street,Scottsdale,AZ,85251
